sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition;list_meanMAP;list_meanMAT;list_meanTS;list_meanPDQ
Couroupita_nicaraguensis;Couroupita;LECYTHIDACEAE;1;2;3;0;2;3;2;1;1;0;1;1;2;960.5588235;23.2877166;343.2170973;96.35294118
Coussapoa_angustifolia;Coussapoa;URTICACEAE;1;2;3;0;2;2;0;1;1;0;1;1;2;902.6428571;24.06273261;88.20324503;14.57142857
Coussarea_albescens;Coussarea;RUBIACEAE;1;2;3;0;2;3;0;1;1;1;0;2;3;2611.909091;26.10803912;49.76604948;244.2727273
Coussarea_contracta;Coussarea;RUBIACEAE;1;2;3;0;2;1;0;0;1;1;5;2;5;2337.55;26.56395359;39.92043819;276.875
Coussarea_surinamensis;Coussarea;RUBIACEAE;1;2;3;0;2;1;0;0;1;1;5;2;5;874.5138889;20.83558432;173.52646;24.40277778
Coutaportla_ghiesbreghtiana;Coutaportla;RUBIACEAE;1;2;3;0;2;0;0;0;1;0;5;2;4;2274.515152;25.97065747;60.09074115;228.1818182
Coutarea_hexandra;Coutarea;RUBIACEAE;0;2;3;0;2;0;1;1;1;1;5;1;4;1330.386207;21.80919475;202.840326;124.0275862
Crataegus_mexicana;Crataegus;ROSACEAE;1;2;3;0;2;1;1;1;1;0;5;1;2;1706.895639;24.13297089;208.9147569;123.5046729
Crateva_tapia;Crateva;CAPPARACEAE;0;2;3;0;2;1;1;1;1;0;5;1;2;2629.425287;24.62890331;72.00462297;185.7097701
Crepidospermum_rhoifolium;Crepidospermum;BURSERACEAE;0;2;3;0;2;1;0;1;1;1;4;2;0;2667.636364;26.09583667;44.61947634;458.4545455
Crescentia_alata;Crescentia;BIGNONIACEAE;1;2;3;0;2;1;0;0;1;0;5;0;2;2369.310598;25.64656049;65.67834291;286.5183631
Crescentia_amazonica;Crescentia;BIGNONIACEAE;0;2;3;0;2;1;0;1;2;1;5;0;0;2421.78125;25.6421627;55.43685872;311.78125
Crescentia_cujete;Crescentia;BIGNONIACEAE;0;2;3;2;2;2;0;1;1;1;4;1;0;1664.717934;20.99742953;269.8610763;170.9877031
Croton_draco;Croton;EUPHORBIACEAE;1;2;3;0;2;1;0;1;2;1;0;1;0;960.5588235;23.2877166;343.2170973;96.35294118
Croton_floribundus;Croton;EUPHORBIACEAE;1;2;3;0;2;2;0;1;1;1;5;1;3;902.6428571;24.06273261;88.20324503;14.57142857
Croton_glabellus;Croton;EUPHORBIACEAE;1;2;3;0;2;2;0;1;1;0;5;1;2;2611.909091;26.10803912;49.76604948;244.2727273
Croton_matourensis;Croton;EUPHORBIACEAE;1;2;3;0;2;2;0;1;1;1;4;1;4;2337.55;26.56395359;39.92043819;276.875
Croton_nitens;Croton;EUPHORBIACEAE;1;2;3;0;2;3;1;1;1;0;2;1;3;874.5138889;20.83558432;173.52646;24.40277778
Croton_scouleri;Croton;EUPHORBIACEAE;0;2;3;0;2;1;0;0;1;1;5;1;3;2274.515152;25.97065747;60.09074115;228.1818182
Cryptocarya_mannii;Cryptocarya;LAURACEAE;1;2;3;0;2;1;0;1;1;1;5;0;1;1330.386207;21.80919475;202.840326;124.0275862
Cuervea_kappleriana;Cuervea;CELASTRACEAE;1;2;3;0;2;2;0;0;1;1;4;1;3;1706.895639;24.13297089;208.9147569;123.5046729
Cupania_dentata;Cupania;SAPINDACEAE;0;2;3;0;2;2;1;0;1;1;1;3;0;2629.425287;24.62890331;72.00462297;185.7097701
