sp;gen;fam;Growth_Rings;Vessel_porosity;Vessel_arangement;Perforation_plates; Intervessel_pits_arregement;Mean_tangential_diameter_of_vessel_lumina;Ground_tissue_fibres;Septa_in_fibers;Fibre_wall_thickness;Parenchyma_Paratracheal;Type_of_parenchyma_banding;Ray_width;Rays_cellular_composition
Diclinanona_calycina;Diclinanona;ANNONACEAE;1;2;3;0;2;1;0;1;1;1;4;0;0
Dicranostyles_guianensis;Dicranostyles;CONVOLVULACEAE;1;2;3;0;2;2;1;1;1;0;2;1;3
Dicranostyles_mildbraediana;Dicranostyles;CONVOLVULACEAE;1;2;3;0;2;3;2;1;1;1;1;1;2
Dicranostyles_villosus;Dicranostyles;CONVOLVULACEAE;1;2;3;0;2;3;2;1;1;1;1;2;2
Dictyoloma_vandellianum;Dictyoloma;RUTACEAE;1;2;3;0;2;3;2;1;1;1;1;2;4
Dicypellium_SP.;Dicypellium;LAURACEAE;0;2;3;0;2;2;0;1;1;1;5;1;2
Dilkea_johannesii;Dilkea;PASSIFLORACEAE;1;2;3;0;2;2;0;1;1;1;5;1;0
Dilodendron_bipinnatum;Dilodendron;SAPINDACEAE;1;2;0;0;2;2;1;1;1;1;1;2;2
Diospyros_aff.;Diospyros;EBENACEAE;1;2;3;0;2;2;0;1;1;1;0;1;0
Diospyros_cayennensis;Diospyros;EBENACEAE;1;2;3;0;2;2;1;1;1;0;1;1;3
Diospyros_crassinervis;Diospyros;EBENACEAE;1;2;3;0;2;2;0;1;1;1;1;1;2
Diospyros_guianensis;Diospyros;EBENACEAE;1;2;3;0;2;1;0;1;2;0;1;0;2
Diospyros_hispida;Diospyros;EBENACEAE;1;2;3;0;2;1;0;1;1;1;1;0;3
Diospyros_virginiana;Diospyros;EBENACEAE;1;2;3;0;2;2;0;1;1;0;5;1;5
Diploon_cuspidatum;Diploon;SAPOTACEAE;0;1;3;0;2;2;0;1;1;1;1;1;2
Dodecastigma_SP.;Dodecastigma;EUPHORBIACEAE;1;2;3;0;1;1;2;1;2;1;1;2;4
Dodonaea_SPP.;Dodonaea;SAPINDACEAE;1;2;3;0;2;2;0;1;1;0;1;0;4
Dodonaea_viscosa;Dodonaea;SAPINDACEAE;1;2;3;0;2;1;0;1;2;1;4;0;2
Doerpfeldia_cubensis;Doerpfeldia;RHAMNACEAE;1;2;3;0;2;1;0;1;1;1;0;1;2
Dolichandra_unguis-cati;Dolichandra;BIGNONIACEAE;1;2;3;0;2;1;2;1;1;1;1;1;2
Drymonia_spectabilis;Drymonia;GESNERIACEAE;1;2;1;0;2;2;1;1;2;1;1;1;3
Drypetes_alba;Drypetes;PUTRANJAVACEAE;1;2;3;0;2;2;0;0;1;0;5;3;5
